appid,genres
4500,"action, rpg"
400,action
13560,action
15100,"action, adventure"
17390,"action, adventure, casual, rpg, simulation, strategy"
17440,simulation
17410,"action, adventure"
15620,strategy
6060,action
6000,action
32370,"adventure, rpg"
550,action
33230,"action, adventure"
47780,"action, adventure"
620,"action, adventure"
105600,"action, adventure, indie, rpg"
20920,rpg
55150,action
34330,strategy
108710,"action, adventure"
212680,"indie, simulation, strategy"
230410,"action, rpg, free to play"
236390,"action, massively multiplayer, simulation, free to play"
220200,"indie, simulation"
242760,"action, adventure, indie, simulation"
244210,"indie, racing, simulation, sports"
218620,"action, rpg"
209000,"action, adventure"
251570,"action, adventure, indie, rpg, simulation, strategy, early access"
205100,"action, adventure"
242050,"action, adventure"
233130,"action, adventure"
261550,"action, indie, rpg, simulation, strategy"
262060,"indie, rpg, strategy"
108600,"indie, rpg, simulation, early access"
235460,action
274520,"action, adventure, indie, rpg"
200510,strategy
48700,"action, rpg"
281990,"simulation, strategy"
287700,"action, adventure"
294100,"indie, simulation, strategy"
201810,action
237930,"action, indie, rpg"
286690,action
287390,action
311690,"action, adventure, indie"
319510,"indie, simulation"
214490,action
322500,"action, indie"
690040,"action, indie"
323190,"simulation, strategy"
241930,
335300,"action, rpg"
291650,rpg
235540,"action, indie"
362890,"action, adventure, indie"
367500,"action, adventure, rpg"
292030,rpg
374320,action
376210,"action, adventure, indie, massively multiplayer, simulation, early access"
386940,"action, casual, indie"
391540,"indie, rpg"
394360,"simulation, strategy"
407130,"action, adventure, casual, indie, simulation"
413150,"indie, rpg, simulation"
225540,"action, adventure"
268500,strategy
431960,"casual, indie, animation & modeling, design & illustration, photo editing, utilities"
438490,"action, rpg"
460870,
440650,"indie, simulation, strategy"
443810,"adventure, indie, strategy"
444090,"action, adventure, massively multiplayer, strategy, free to play"
450540,"action, simulation, early access"
275850,"action, adventure"
274500,"action, indie"
364360,"action, strategy"
489630,strategy
489830,rpg
403640,action
311210,"action, adventure"
502500,"action, simulation"
507010,"action, adventure, indie, simulation"
508440,"indie, simulation, strategy"
509980,"action, adventure, indie, early access"
312660,"action, adventure"
337000,"action, rpg"
418370,"action, adventure"
362960,"adventure, rpg"
554310,"adventure, casual, indie"
573100,strategy
578650,rpg
588650,"action, adventure, indie"
594650,action
356190,"action, adventure, rpg"
597220,"adventure, indie, rpg"
612880,action
621060,"indie, simulation"
629730,"action, adventure, indie, rpg, simulation, early access"
629760,"action, indie"
631510,action
648350,"simulation, strategy"
656970,"action, adventure, indie"
601430,"action, adventure"
674500,"action, indie, simulation, strategy"
674940,"action, casual, indie"
377160,rpg
700330,"action, free to play"
701160,"adventure, indie, simulation, strategy"
716490,"indie, simulation"
239140,"action, rpg"
8980,"action, rpg"
729040,"action, rpg"
594570,"action, strategy"
736220,"action, indie, massively multiplayer, simulation, strategy"
743450,"indie, simulation"
756800,"action, adventure, simulation"
760160,"action, free to play"
774361,"action, adventure, indie"
785740,"adventure, indie, strategy"
464920,"simulation, strategy"
637650,rpg
304390,action
826630,strategy
834530,"action, adventure, rpg"
552500,"action, indie"
570940,action
848450,"adventure, indie"
853550,"casual, indie, simulation"
750920,"action, adventure"
857980,"action, strategy"
863550,action
582010,action
714010,"action, adventure, casual, free to play, indie, simulation"
905370,"action, massively multiplayer, strategy, free to play"
638970,"action, adventure, rpg"
673880,strategy
814380,"action, adventure"
730,"action, free to play"
492720,"simulation, strategy"
953490,"action, adventure, indie"
962130,"action, adventure"
35140,"action, adventure"
200260,"action, adventure"
208650,"action, adventure"
977400,"casual, simulation, free to play"
412020,action
1449560,action
581320,action
1012790,indie
718850,strategy
524220,"action, rpg"
752590,"action, adventure"
1026420,"indie, rpg, free to play"
1049590,"indie, strategy, free to play"
927380,"action, adventure, rpg"
1085510,racing
1086940,"adventure, rpg, strategy"
843260,rpg
1091980,rpg
379430,"action, adventure, rpg"
782330,action
1105500,"action, adventure"
1105510,"action, adventure"
601050,action
976730,action
617290,"action, adventure, rpg"
1085660,"action, adventure, free to play"
601150,action
289070,strategy
1172470,"action, adventure, free to play"
1174180,"action, adventure"
790820,"action, rpg, strategy"
1196590,action
678960,"action, rpg"
1145360,"action, indie, rpg"
1222140,"action, adventure"
1226470,"action, free to play, massively multiplayer, rpg, strategy, early access"
1227530,"indie, strategy"
1238840,"action, massively multiplayer"
1238860,action
1237970,action
582660,"action, adventure, massively multiplayer, rpg, simulation, strategy"
1167450,action
203160,"action, adventure"
1277400,"adventure, rpg"
1281930,"action, adventure, indie, rpg, free to play"
1113000,rpg
1158310,"rpg, simulation, strategy"
1302800,"casual, indie, simulation"
1151340,rpg
1030840,"action, adventure"
1326470,"action, adventure, indie, simulation, early access"
1328670,"action, rpg"
544610,strategy
1363430,action
1388590,"action, adventure"
719040,"rpg, strategy"
34270,"action, adventure, casual, rpg"
1172620,"action, adventure"
1462040,"action, adventure, rpg"
534380,"action, adventure, rpg"
1556790,"action, indie, massively multiplayer, simulation, strategy"
1382330,"action, adventure"
43110,action
823130,"action, free to play, indie"
1517290,"action, adventure, casual"
1384160,action
1549970,"action, rpg"
883710,action
952060,action
1687950,rpg
1016800,"action, adventure, indie, rpg, simulation"
1716740,rpg
1240440,"action, free to play"
1142710,"action, strategy"
1793250,"adventure, casual, indie, rpg, strategy"
1824220,"action, massively multiplayer"
1832220,"action, adventure, indie, rpg, simulation, free to play"
204450,action
2000950,action
1313140,"action, adventure, indie, strategy"
1805480,"action, adventure"
2050650,"action, adventure"
1222670,"adventure, casual, simulation, free to play"
1938090,action
1361210,"action, adventure, indie"
1888160,action
43160,
440,"action, free to play"
570,"action, strategy, free to play"
10090,action
17470,"action, adventure"
22330,rpg
32430,action
42700,action
207610,adventure
208580,rpg
202970,action
222480,"action, adventure"
246900,"indie, simulation"
261030,adventure
254700,"action, adventure"
45760,action
238320,"action, adventure, indie"
21000,"action, adventure"
213330,"action, adventure"
357190,action
222420,action
222940,action
412830,adventure
417860,"adventure, casual, free to play, indie, simulation"
460950,"action, indie"
498240,adventure
536220,adventure
586140,action
632360,"action, indie"
675260,adventure
739630,"action, indie, early access"
774171,"action, casual, indie"
801630,action
819030,adventure
825630,adventure
866800,adventure
930910,adventure
970560,adventure
893180,adventure
285900,"action, adventure, casual, indie, simulation"
1201240,"action, casual, rpg, free to play"
1216060,"action, casual"
1238060,action
1262350,"action, adventure, indie"
1289310,"adventure, free to play, indie"
1342260,action
1449850,"simulation, strategy, free to play"
1509960,"action, casual, indie"
976310,action
1685750,action
1782210,"action, casual, free to play, indie, racing"
1446780,action
1498570,action
1943950,"indie, early access"
1967430,"action, adventure"
1364780,"action, adventure"
1902690,"action, rpg"
240,action
4760,strategy
12810,rpg
10180,action
10190,action
24780,"simulation, strategy"
8930,strategy
70110,"indie, simulation"
42710,action
21130,"action, adventure"
40800,indie
39120,"action, adventure, massively multiplayer, rpg, free to play"
44320,
42680,action
42690,
28050,
113200,"action, adventure, indie, rpg"
201870,"action, adventure"
72850,rpg
204030,"action, adventure, rpg"
207690,"adventure, casual, indie"
211580,"action, adventure, indie, rpg"
208140,strategy
201790,"action, adventure, indie, rpg, strategy"
204300,"action, free to play, indie, strategy"
220780,indie
220860,"action, adventure, indie"
49520,"action, rpg"
200710,"action, adventure, indie, rpg"
202990,action
214510,"action, adventure"
35480,"casual, indie, strategy"
204080,
201230,"free to play, massively multiplayer, rpg"
212070,"action, massively multiplayer, simulation, free to play"
212500,"action, adventure, free to play, massively multiplayer, rpg"
238960,"action, adventure, indie, massively multiplayer, rpg, free to play"
34870,action
232010,"indie, simulation"
227680,
226700,"action, free to play, indie, massively multiplayer, rpg"
234710,"casual, sports"
222730,"indie, simulation, strategy"
91310,
216250,
239030,"adventure, indie"
209170,action
257050,"action, adventure, indie"
219990,"action, adventure, indie, rpg"
230070,"indie, rpg"
264710,"adventure, indie"
227300,"indie, simulation"
211820,"action, adventure, casual, indie, rpg"
221100,"action, adventure, massively multiplayer"
267940,"action, racing"
213670,"action, adventure, rpg"
285580,"action, free to play, indie, sports, strategy, early access"
236430,"action, rpg"
222900,
300380,"action, adventure, indie, racing, simulation"
306410,"casual, indie"
9900,"massively multiplayer, rpg, free to play"
