steamid,num_games_owned,playtime_forever
76561199004154858,290,5567
76561199058333673,120,4204
76561198016380377,218,9200
76561198898124688,47,13942
76561198011137973,289,11385
76561198077343629,183,10902
76561198812092506,56,2479
76561199154959752,16,4985
76561198327096505,71,9922
76561197972438864,362,2714
76561198119175500,33,8307
76561198403852102,192,2206
76561198071703459,86,8901
76561198155688322,52,31904
76561199126465756,8,861
76561198869075105,55,8518
76561198090891781,724,6021
76561197995989558,153,11833
76561198334915733,59,5688
76561199134042216,112,2167
76561198892949773,29,12539
76561198200736771,43,10711
76561198263097074,33,11280
76561197977333805,188,9584
76561198033870777,466,8502
76561198009043130,89,6123
76561198352139818,127,1871
76561198275815925,69,5515
76561198082368674,125,12233
76561198077238695,55,562
76561198299156255,20,12134
76561198260451807,164,9290
76561198085280474,264,561
76561199548587128,1,671
76561197990195403,333,11659
76561198073380547,45,3796
76561198060519078,195,13995
76561198038438911,33,1799
76561198046528977,552,21964
76561198093784176,151,36391
76561198798006285,46,2445
76561198951807584,64,4176
76561198145766501,115,15195
76561198406909158,9,24806
76561198149597061,92,2517
76561198002316732,2117,18140
76561198129017908,84,23710
76561198003470342,562,12922
76561198120402856,95,2838
76561198799370263,96,15375
76561198130111990,149,11146
76561198871299591,59,6874
76561198194316842,114,468
76561198071719875,208,10186
76561197969617580,172,16019
76561198158943548,201,8531
76561198150971325,188,3318
76561198263930113,57,14439
76561197992073093,203,2855
76561197975672219,190,21898
76561199074679301,28,323
76561198874339517,84,21713
76561198193824850,160,7532
76561197980337110,1263,588
76561198390248714,83,2182
76561198122024180,58,2258
76561198048987685,130,7750
76561198855041260,40,10080
76561199064676050,26,10960
76561198229749940,209,2708
76561198117589666,133,21221
76561198065250256,57,4663
76561198977375950,56,1168
76561198429446765,17,835
76561198977081336,12,11919
76561198170190958,187,11049
76561197963512545,70,2220
76561198142607640,377,6886
76561198295962446,99,4019
76561198016594651,352,13205
76561198986771222,69,14255
76561198302085546,67,11737
76561198070616455,3,8075
76561198066851075,281,3919
76561198141800870,90,33185
76561198140509374,84,24418
76561197988319848,143,7212
76561199149149566,111,669
76561198069600327,67,9371
76561198067011078,169,6008
76561198241796868,174,5374
76561198078138817,50,4895
76561198161337961,42,1921
76561199102069886,51,6081
76561198968594808,18,1490
76561197988223180,181,1564
76561198176983881,478,395
76561199089208902,44,3477
76561198252003366,60,2896
76561198080650828,159,13629
76561198067653839,222,5107
76561198087255857,158,19380
76561198207791803,189,6498
76561198005901306,205,9478
76561197964946247,301,9964
76561198139832341,65,10362
76561198019558627,140,4397
76561198271033148,207,3746
76561198055346713,43,2442
76561198150716171,165,3565
76561198136209859,20,7739
76561197973422208,344,1399
76561197998621185,88,6115
76561198054986584,226,12812
76561198886464646,110,11588
76561198881307180,59,5989
76561198958833829,39,2876
76561198241159328,21,6756
76561198239714474,424,2576
76561198044117628,236,3881
76561197970677121,271,16255
76561198071394367,186,7654
76561198049768627,169,2881
76561197970511664,207,37738
76561198036322831,165,7337
76561199564403935,1,7225
76561198141683647,67,5523
76561198094734482,126,5297
76561198008856409,185,7424
76561198058916788,76,3819
76561198123870950,34,5672
76561198031680221,235,4498
76561198402483585,28,809
76561198820143123,111,11858
76561199253650680,73,5304
76561197970222979,425,27923
76561198059946778,185,7233
76561198037399102,433,10102
76561198039329017,207,4629
76561198014390093,410,11448
76561198366641446,35,31568
76561198105462076,98,10365
76561198339067417,25,21558
76561197972696273,186,5294
76561198067566326,103,19526
76561198180642478,244,14008
76561198059072204,403,2756
76561198045817039,231,13348
76561198882882707,12,1570
76561198348723244,78,1631
76561198211275581,91,7012
76561199496801912,56,1466
76561199326408229,81,1105
76561199150420771,54,6890
76561198978204270,110,1217
76561199259294146,67,5183
76561198136443081,58,3169
76561198944585856,50,5116
76561197963507751,880,9417
76561198119405018,213,12194
76561198929579935,145,13516
76561198072259519,67,10962
76561198351140382,141,1939
76561198032318541,582,2199
76561198091989215,274,17042
76561198114497799,652,38473
76561198116122442,179,12404
76561198046082901,150,6327
76561198036967041,238,16704
76561198148687534,82,13287
