name,defaultvalue,displayName,hidden,icon,icongray,description,player_count
TheFool,0,The Fool,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/7975d6e5d790b88f030195e3b1a38e49a5de1c8d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,2984
TheLovers,0,The Lovers,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/25bab7e2288262ad801664e62f241e2839edb457.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,2901
TheHermit,0,The Hermit,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/d1e79618b612be87bff4f5c70b1e825e37b05540.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,,2661
TheWheelOfFortune,0,The Wheel of Fortune,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/61c7ccea74b66ef3f5d51c078d900d930346e74a.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,2737
TheHightPriestess,0,The High Priestess,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/8f5eacf50eb2ad11fe9dbd1d3a98c306d54ff545.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,2502
TheWorld,0,The World,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/25c57ecea783efc3f9d04eec43401264ed5eb9b2.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete the main storyline.,2041
TheDevil,0,The Devil,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/e63819b5dc0e127a2535e4fd76f726b1ba442afa.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,,639
TheStar,0,The Star,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/96506dab554565fd3dc78446a6df17040b353f16.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,1148
TheSun,0,The Sun,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/8bf8ad71b62614b329eab2bac069724d34d69b27.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,1021
Temperance,0,Temperance,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/c81713b7813e1675add335a1ce778588b70d09f9.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,993
FollowingTheRiver,0,To Protect and Serve,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/a51caf46e315b285be58a7d6cf7013a7b0c44a41.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,,1600
BornToBeWild,0,To Bad Decisions!,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/3ac542374888a4a57a2ef35fb2bf3a5546daaaca.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,1094
UnderPressure,0,Judy vs Night City,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/0a1df4318c75f42845fc3a1a28739d8acea3b7e7.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,,1800
QueenOfTheHighway,0,Life of the Road,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/ce6eab1ce0ee6621350749c53e4bace6518e3056.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,,2256
BushidoAndChill,0,Bushido and Chill,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/ddedbfc44a125a864027e504de48fde92751c7b1.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,,1945
NeverFadeAway,0,Breathtaking,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/27664ed21cfe3db65108a6ed1b25e383a6aafdb8.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Collect all items that once belonged to Johnny Silverhand.,1242
YipMan,0,It's Elementary,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/b7512099ad421258b91b49ab12d46ffd2bb948da.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in Watson.,728
IAmMaxTac,0,I Am The Law,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/0b89d8dacb03eabb93041f02e623729ca3e4c41b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,Complete all Cyberpsycho Sightings.,1535
ThisIsPacifica,0,Greetings from Pacifica!,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/c2294767a5ee7ef08429307a739f99e51e453a97.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in Pacifica.,657
NoMansLand,0,The Wasteland,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/58f6286727bb4a5a43a373149ff1ede77345b1a8.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in the Badlands.,576
LittleTokyo,0,Little Tokyo,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/96ca1665384409e4a0ea76cc7271021da58cc896.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,Complete all gigs and NCPD Scanner Hustles in Westbrook.,616
LikeFatherLikeSon,0,Mean Streets,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/f95b51e241c93e045c9adea4e199d2980b972b6f.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in Heywood.,856
TradeUnion,0,The Jungle,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/3162cccaaaa83b1f5b3fe50af30a74d6a1541298.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in Santo Domingo.,1000
Bladerunner,0,City Lights,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/31d389c6630c86434f193e7645cc78d22a790bff.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete all gigs and NCPD Scanner Hustles in City Center.,681
Cyberjunkie,0,Full Body Conversion,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/a3acd634e21dea672bb35c0d6a9707ff5079aed1.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Install at least one implant in each system and body part.,2379
GunKata,0,Gun Fu,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/96b9d0c95bc80867a61a2870c6ddec9ab424f728.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Kill or incapacitate 3 enemies in quick succession with a revolver or pistol in close combat.,2283
MasterRunner,0,Christmas Tree Attack,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/8af08786073d0d2ba2374f00eb6bd876c593891e.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Complete a Breach Protocol with a minimum of 3 daemons uploaded.,1976
Specialist,0,Ten out of Ten,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/a9109d1262f0121dd2c4369a5cbbdde0b7c347bb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Reach the max level in any skill.,1539
Gunslinger,0,Gunslinger,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/d13a7170dd835e73cf30a7ee6da0ebf3670c23a1.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Shoot an enemy grenade in midair with a revolver.,1014
TwoHeadsOneBullet,0,"Two Heads, One Bullet",0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/26d6c25c2ca7e5877b26347fc05f5eb2dd504bbf.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,Kill or incapacitate 2 enemies with the same sniper rifle shot.,1618
ThatIsSoHardForTheKnees,0,Rough Landing,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/514ebb07bb23ed93234a4f299761db840d06bbbb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,"While Berserk cyberware is active, perform a Superhero Landing to kill or incapacitate 2 enemies.",983
Roleplayer,0,Stanislavski's Method,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/943a38cb96238b7b020672cf360d9e763dcf6feb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Use a dialogue option related to V's life path 10 times.,2707
Gearhead,0,Autojock,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/7ae50754d5cf0c37a73c2e0d4e88410cd51dd5b9.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,Buy all vehicles available for purchase.,595
HandyMan,0,Master Crafter,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/0b30a85424064ad230d3d0b0101fb2f4c731366d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Craft 3 Legendary items.,1596
NotTheMobile,0,Daemon In The Shell,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/b3d81a567599dacdbf32fa024e4d9baafc19599b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,"Kill or incapacitate 3 enemies with one ""Detonate Grenade"" quickhack.",477
MaxPain,0,The Quick and the Dead,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/7d368314167adc79672ac5ccb090704352f7f733.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Kill or incapacitate 50 enemies while time is slowed.,1835
MustBeTheRats,0,Must Be Rats,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/9f6b540aa3fa924f3600afdff35a763e75454c8c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Perform the Distract Enemies quickhack 30 times without drawing attention to yourself.,683
VForVendetta,0,V for Vendetta,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/5d34ce9108d8ac3018a1de3a2a485956bb7a9109.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,"After reviving with Second Heart, kill or incapacitate the enemy who killed you within 5 seconds.",1988
TrueSoldier,0,True Soldier,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/2f63e6b9c0774f8f63b9f053ba9ec145e90c678c.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Kill or incapacitate 300 enemies using ranged weapons.,2562
TrueWarrior,0,True Warrior,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/714db842d4bbf426994d8cc7450769e75c47da8b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Kill or incapacitate 100 enemies using melee weapons.,1994
Denied,0,Right Back At Ya,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/33a8a122a08532ec727598142e6b5689ae7eed8b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Kill or incapacitate an enemy who threw a grenade at you.,2885
Fortuneteller,0,The Wandering Fool,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/5fe10094d667c5f6da21589aad5c8ebd07f0e78b.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Find all the tarot graffiti for the job Fool on the Hill.,1338
GetMeThereScottie,0,Frequent Flyer,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/f5aa6c12eef1c0e2a3d102ebf01b3a1048bd6b20.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/961e51e8bd9e1ec292687055b6d1a4486b0e124d.jpg,Find all fast travel dataterms.,640
YouKnowWhoIAm,0,Legend of The Afterlife,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/997859e0c89dda10f11a091a566999e68e6f9ce3.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/35a05a2c50d604f54724d65b7fdf6f9ee71fe88c.jpg,Reach max Street Cred.,2355
KingOfTheCups,0,King of Cups,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/51413a8a5e4f2e9de1c2d76b87d5c7980c9f7344.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,402
KingOfThePentacles,0,King of Pentacles,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/172f9e9e8e3b8eaeae2bb84feb87127b58353dba.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,542
KingOfTheWands,0,King of Wands,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/ad8075ab98162f93a200fc6a8c55cccf4c8d1b1d.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,785
KingOfTheSwords,0,King of Swords,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/c6e7c9cc51fde9a554fcf07e5f1114edcc4090c0.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,647
TheTower,0,The Tower,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/c3c3b1235ae0dde8783ea38bf696c7269a63b3cb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,698
Kingmaker,0,Spin Doctor,1,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/b2c92946b6ac64d267e486616ad9a55d7364b4eb.jpg,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/1091500/030b090723c739fcfbcdef35390ff0b491732705.jpg,,1111
