steamid,num_games_owned,playtime_forever
76561198000532950,137,16615
76561198760518939,97,14847
76561198353676405,69,5511
76561199094391069,83,4256
76561199034882677,20,559
76561199221158920,3,2683
76561198094802500,132,6476
76561199014632398,22,5927
76561198122818819,812,3924
76561198272596675,321,186
76561198021997008,154,5547
76561198372525386,88,7150
76561199158722892,19,7806
76561198970241606,22,4902
76561198036566346,192,9665
76561198033856397,93,9588
76561198387913201,38,1040
76561198126511299,35,612
76561198005655982,341,210
76561198139146411,129,8634
76561198208938637,270,1684
76561198137545608,255,6190
76561198082137539,250,6327
76561198018499396,361,16435
76561198121367337,222,6616
76561198000209706,824,9938
76561198139755224,174,11744
76561198273237920,153,1158
76561198151515722,134,297
76561198138430940,218,302
76561198044507094,411,861
76561199134685327,541,1307
76561198319543575,33,708
76561199380358165,84,2955
76561198171440255,494,738
76561198042097318,573,1328
76561199160176316,238,2736
76561198133081636,44,5323
76561198333851246,310,1178
76561198089331429,309,509
76561198036319928,225,6296
76561198082679821,831,15028
76561199160825623,16,1388
76561199058790324,39,962
76561198381821951,201,3938
76561199045499189,17,424
76561198138301615,435,5706
76561199021922256,29,3080
76561198345772552,88,808
76561199157255070,94,4192
76561198288331902,101,4818
76561198385547497,64,2723
76561198262784224,102,6108
76561198130581840,595,9902
76561198837400438,36,5306
76561198149897805,73,10964
76561198088910278,76,5559
76561198066219162,166,842
76561199124493293,26,1465
76561198973568060,149,7945
76561198032095347,1316,2361
76561198249429812,179,6217
76561198006931886,372,1958
76561197968668879,62,1221
76561198093948126,293,1996
76561198042720753,180,1836
76561198099664233,243,5069
76561199382492876,36,196
76561198275372314,449,6571
76561199256241525,211,2518
76561198044597636,132,2928
76561198212430848,75,2178
76561199118231538,84,1022
76561198023256592,183,4235
76561198110833297,222,9985
76561198051797638,34,5252
76561198201114091,25,1910
76561198194872495,33,7956
76561199045784883,49,3835
76561199124913352,78,4323
76561198982444374,18,1808
76561197996285519,76,13398
76561199135804629,129,3218
76561198817067912,69,6077
76561198042434233,354,4568
76561197970023568,770,3202
76561199389512061,69,280
76561198206613916,139,9214
76561197967487047,1207,11336
76561198116090570,60,7818
76561198840253735,158,11008
76561199516864664,21,878
76561198844194955,17,3486
76561198007522882,25,3015
76561198112924902,35,2020
76561198089469321,193,5672
76561198285524012,68,4048
76561198137200150,83,7446
76561198858189317,326,5043
76561198318654510,130,12535
76561197971633930,162,1773
76561198115629824,44,954
76561199022519531,4,1481
76561198012424834,233,5829
76561198971531237,77,3649
76561197977214978,339,23163
76561199159809553,7,2566
76561198042798266,69,838
76561198142927219,232,5157
76561199051148755,44,2398
76561198123030089,112,7689
76561198392775674,96,5039
76561199079242461,50,4738
76561198263241297,167,10303
76561198119776708,359,14148
76561198060712742,181,14822
76561199174989413,16,3972
76561199033579818,29,2198
76561198309970041,267,11949
76561198364342232,152,4582
76561198824265871,61,4611
76561199399435242,12,2717
76561197994409296,1186,8641
76561198067390585,104,15636
76561199175923190,366,2170
76561198120992799,492,3126
76561198866978554,37,523
76561198139388723,207,29819
76561198371452948,59,4794
76561198978251911,83,14974
76561198447802424,93,4790
76561198800059483,91,5460
76561197986510997,802,17026
76561198100203751,119,4172
76561198300009292,133,537
76561198149635733,345,5914
76561198262691546,71,9506
76561198312424625,80,21581
76561198004581434,204,3762
76561197960694550,292,658
76561198105370644,152,5730
76561197979958514,300,19276
76561199437839921,6,7674
76561198050632392,70,11601
76561198242151638,260,16620
76561198071352126,68,7737
76561199175076010,27,587
76561197961267416,832,15860
76561198821275530,50,2972
76561198320763815,111,21245
76561198058403265,116,5281
76561198081464806,310,198
76561198072918567,1167,6445
76561198134915225,59,7393
76561199163495344,24,6811
76561198017520672,661,29716
76561198025780009,178,15892
76561198038694059,125,18521
76561198077666301,280,207
76561198037868678,389,10836
76561199057903047,7,6032
76561198164944262,8,392
76561198162357783,44,1614
76561197992436421,939,2107
76561199052658396,114,479
76561198015524091,305,8307
76561198094527920,166,10419
76561198307310683,374,9315
76561198087352698,17,4236
76561198332426873,38,15494
76561198979797674,15,7458
76561197969025773,159,20978
76561198021182511,212,6437
76561198061487264,674,3906
76561198397452305,157,5554
76561197976418071,875,6294
76561199280451350,80,2591
76561198149879372,163,2556
76561199025516113,62,5808
76561198067808566,134,2379
76561198124014295,89,6932
76561198091925368,79,3196
76561198328590447,174,2289
76561198322229473,98,13233
76561198119725229,74,2593
76561198857857761,83,1219
76561198000520915,502,2722
76561198298965642,61,1148
76561199471986005,3,1147
76561198009077309,145,1423
76561198345482061,25,4516
76561198370912672,163,7301
76561198868738191,121,2399
76561198097009947,144,3846
76561199056217164,42,2038
76561198880415347,48,4700
76561199029643780,31,498
76561198359474386,90,5669
76561197989557524,2504,7644
76561198011577278,436,12671
76561199091501565,7,3689
76561198983070258,184,2639
76561198136792688,271,7940
76561199092626577,52,24805
76561197988758568,772,3627
76561199029708636,118,302
76561198028874503,239,7454
76561198818101474,59,8580
76561198295691717,88,3837
76561198068161651,71,8272
76561197985826597,395,6028
76561198000797287,146,1264
76561198313164527,504,2232
76561199136403176,11,5381
76561198041403047,268,3366
76561197985174822,201,2173
76561198858454814,55,6124
76561198381716825,84,1487
76561199078361780,144,3774
76561198390423835,36,2474
76561198040014394,408,2457
76561198068054530,107,4123
76561197990944247,70,8601
76561198024412752,208,31821
76561198016296909,112,13396
76561198004501703,2459,6301
76561199187431896,73,7306
76561199221009562,109,8302
76561198127487098,85,6634
76561199008421656,43,3741
76561198133811920,9,4239
76561198019780229,255,7413
76561198093059875,148,5050
76561198042898736,373,3467
76561199542522959,2,1682
76561199065237153,29,6340
76561199122458974,78,2391
76561198139534510,108,3563
76561198050924972,456,7690
76561198063344445,333,9985
76561198051311330,309,2710
76561197965108486,78,1920
76561199179258306,149,13738
76561198359369277,38,6124
76561198848152439,35,3008
76561198102748656,293,10703
76561198839664201,46,9139
76561198042149449,693,6406
76561199013357848,94,5321
76561198881391695,33,671
76561198292986042,30,16794
76561198368964838,109,2139
76561198096135720,371,3118
76561199227717407,12,1695
76561198026748025,341,2919
76561198363167759,317,2461
76561198830577799,33,6887
76561198096174113,124,1337
76561198170101879,165,15324
76561199478029381,13,2353
76561198154371161,80,5129
76561198121030542,106,18978
76561198146616092,122,8648
76561198025497188,2010,16569
76561198168651200,32,3424
76561198060706823,186,1842
76561198010504231,260,6594
76561199039352783,11,4929
76561198376146150,101,4106
76561198274105390,159,8265
76561198033744428,425,5535
76561198155312264,389,503
76561198240535396,304,17460
76561198109151958,86,8221
76561198423766452,80,5306
76561198151066062,125,2524
76561198252599474,58,4054
76561197997155427,23,4773
76561199101199120,41,6998
76561198071035915,154,28504
76561198084450618,189,2437
76561198072692472,263,7944
76561198049245659,262,7406
76561198146944581,485,3697
76561198028953943,1402,3417
76561198293007036,49,3066
76561198099266132,116,17081
76561198234700084,84,944
76561198380944568,128,3341
76561198083892629,89,4443
76561198099382965,296,12160
76561198023140197,313,22508
76561199060124614,62,4790
76561199388653221,22,6858
76561198024025791,63,3313
76561198318678100,205,4745
76561198080341095,26,15299
76561199081302388,30,13589
76561198113818845,123,4968
76561198839680113,97,3336
76561197970101913,104,11730
76561198076601776,134,8804
76561199071383019,25,16034
76561198271649697,90,6005
76561198171451441,869,5663
76561198828451532,28,6532
76561198074996962,244,501
76561198171573235,563,8968
76561198058839682,405,11506
76561198930933593,52,1265
76561198092130137,160,2235
76561197994802156,86,11865
76561198025050162,404,10021
76561198236494856,501,3590
76561198124438871,303,3011
76561198005687229,199,11411
76561198033339109,75,7120
76561198089134983,215,1442
76561198249017636,90,2536
76561198369460779,27,6727
76561198380090381,100,2554
76561198151609218,149,6063
76561197972058232,134,1544
76561198205701441,282,5826
76561198011264509,357,4691
76561199086376692,63,2360
76561198082707954,289,228
76561198027591336,256,8532
76561197993128658,359,8303
76561198190759406,1653,2486
76561198017968623,62,12922
76561198052288354,110,4006
76561198110388716,37,6914
76561198318838617,225,8841
76561198333464573,101,5938
76561198386206684,49,18973
76561197972243234,522,2878
76561198352497551,190,12634
76561197960939567,25,14254
76561197976386388,279,6053
76561198136957565,127,4757
76561198245327140,119,4257
76561198260788330,77,1447
76561198005607449,126,6898
76561198041556086,65,8175
76561198025931818,793,11373
76561199024634818,58,8788
76561198325769016,120,14463
76561198143137051,52,2260
76561198041074468,131,3664
76561198205728785,492,3696
76561198313383097,258,7046
76561199029490508,28,6028
76561198324198294,208,830
76561198931345093,184,5268
76561198346764168,277,5790
76561198314287059,195,17249
76561198430232475,127,5460
76561198120795971,32,7427
76561198948006136,69,5418
76561199076698186,10,1052
76561198141411452,68,7859
76561198289184693,103,2049
76561198351696739,37,3478
76561198317004120,61,21226
76561198099287381,72,1209
76561199226680914,33,4109
76561198183803393,94,3967
76561198904407414,73,409
76561198002767693,277,19262
76561198858586409,56,2319
76561199090681113,266,5047
76561198025300693,327,5082
76561198158855822,199,9383
76561198135764822,321,6255
76561198838242527,63,4772
76561198024557594,745,11685
76561198071288660,319,6356
76561199027261996,68,1399
76561198232307680,203,9290
76561199051318042,41,6171
76561199026052956,275,133
76561198150248395,76,6898
76561198069626655,188,3526
76561197997055661,1914,283
76561198047054518,360,4518
76561198169910703,250,6863
76561199552348617,1,7488
76561198062078125,32,1933
76561199203212759,28,2502
76561198292491567,58,8006
76561197968320719,796,5067
76561198016870475,169,10058
76561199104849057,6,3626
76561198397339340,259,4818
76561197967731909,390,9883
76561198134561677,146,7084
76561198107580025,380,13063
76561198041700853,156,4864
76561198858447343,67,6575
76561199080845396,177,23003
76561198446650226,30,1798
76561198108095644,77,8280
76561197999376501,341,16245
76561198055976605,224,5114
76561198163863375,153,1131
76561198984034256,30,2856
76561199129208743,24,2543
76561198247770852,204,2784
76561197961236507,476,13738
76561198172268598,263,1028
76561199183417575,26,8808
76561197995961445,227,3069
76561198997656251,93,13315
76561198123572536,15,9275
76561197970565367,214,5113
76561198152604550,135,366
76561198123045137,405,7418
76561199391428635,62,1925
76561198379799486,3,2325
76561197991961201,765,6749
76561198355626271,59,4142
76561198446087047,52,7534
76561198298296465,56,5077
76561198026029468,319,2586
76561198103646130,184,6067
76561199209769817,132,5358
76561199309990439,42,7189
76561199031039685,26,3058
76561198288944503,57,6343
76561198089393909,140,2116
76561199030238929,30,8107
76561198355649687,64,3600
76561198071627170,121,2019
76561198026586286,389,11319
76561198863149051,81,495
76561198002240893,522,3037
76561198185499043,37,8913
76561199116546942,40,3727
76561199241553519,48,4523
76561198996152318,3,4168
76561198930140719,62,5212
76561198039082136,54,3761
76561199074674509,73,3676
76561198187001783,124,5717
76561198041137546,229,9998
76561198177296062,58,5698
76561198084039875,5,4312
76561198255087558,91,5047
76561198830699459,267,2736
76561198282845013,104,1575
76561198025715114,90,5230
76561199241399347,28,289
76561198415640526,111,4207
76561199480621694,18,3255
76561197999150745,187,3126
76561198058808961,790,12083
76561198262371205,45,13558
76561198253203241,146,10981
76561199133414425,17,1556
76561198435773290,114,3040
76561198010522797,105,7837
76561198015955811,543,4983
76561198054338385,737,4457
76561198974018818,111,1277
76561197972391162,357,6051
76561198341127732,147,14080
76561198070052871,513,13019
76561197968383461,532,1819
76561197997973598,115,4135
76561198318336514,50,4559
76561198051999592,239,5002
76561198840540204,59,3460
76561199429800585,19,5786
76561199290502098,43,2117
76561198962302398,17,5446
76561198354145329,23,1672
76561197970310796,527,5457
76561197970576225,75,4056
76561199286658552,18,658
76561198059011045,153,1851
