steamid,num_games_owned,playtime_forever
76561199109113170,22,4240
76561199158349482,9,2813
76561198861357138,12,13572
76561198026061904,126,422
76561199505731761,1,9842
76561199203491205,22,6800
76561198880726043,49,26941
76561199370398718,6,2197
76561198287398769,947,836
76561199065591542,159,3084
76561198347958344,16,7794
76561198052220240,90,15156
76561198166410830,32,957
76561199475042309,4,387
76561198898391773,18,9848
76561199093280115,11,9625
76561199247512074,12,308
76561199232721706,17,1524
76561199105578615,7,4745
76561198148262420,61,35875
76561198298243674,38,914
76561199387521204,3,2368
76561198843481609,12,17219
76561199388624149,11,637
76561198354243342,50,16334
76561199216299418,3,1193
76561198081125015,33,49856
76561199133920380,10,20094
76561198314407972,126,28770
76561199215851174,93,7806
76561198972430841,26,9159
76561199357351848,10,1225
76561198940732746,9,2142
76561199200307237,26,5183
76561199144881664,5,5857
76561198076684340,24,260
76561198031916393,337,5159
76561198402765962,106,648
76561198816763928,33,27264
76561199381716548,18,1333
76561199395411943,11,379
76561199071876340,60,19281
76561199263545176,33,1120
76561198895655690,23,13944
76561198287681743,44,65660
76561198351693177,21,295
76561198886193360,44,10695
76561199135246759,3,4093
76561197976792750,120,2560
76561199163454648,1,1091
76561198813187954,43,75335
76561199013166024,6,1947
76561199141610858,15,1700
76561199185686466,5,1936
76561198878077790,16,4173
76561199018224417,1,1193
76561199178905761,15,4538
76561199103477062,2,4323
76561198152594421,61,22142
76561199235279964,30,1351
76561198004511023,142,82703
76561199439155485,26,543
76561199124516674,4,3853
76561199471347857,1,694
76561198046042354,199,2645
76561199415987650,5,3675
76561199082902621,16,447
76561199033426869,14,954
76561199070319291,23,2567
76561198870072189,71,1401
76561198203221293,76,57105
76561199436849969,59,3700
76561197977604625,151,12715
76561199300980052,44,9706
76561199309877861,7,657
76561199197774956,9,10845
76561198347175223,100,425
76561199086579249,6,50387
76561198028086622,112,34445
76561198813359432,15,13711
76561198401182232,30,6957
76561198260719299,23,7795
76561199413299125,18,703
76561198180004493,95,13639
76561198421828843,39,39090
76561199253334159,26,18349
76561199526342419,4,909
76561199504570869,4,4869
76561197987265431,53,18941
76561199060624072,16,5119
76561198874809698,47,11911
76561199468763388,38,4951
76561199069336020,20,3600
76561199142434745,26,11888
76561198163476771,87,702
76561198073463190,20,206
76561199498270006,37,3433
76561199098846226,7,4838
76561199012674226,14,6527
76561198353118741,14,15989
76561199232487768,1,5330
76561198332230818,9,5767
76561199383009815,6,1493
76561199225625499,1,14784
76561199513941513,2,4103
76561198966012736,63,227
76561199100231775,7,865
76561199189036982,47,23444
76561199183581790,9,1786
76561198413224890,14,8890
76561199376175413,9,16097
76561199201367826,10,6158
76561199455300196,10,4198
76561198800025729,19,5622
76561199156023287,39,2019
76561199180845399,18,822
76561199145729888,22,1905
76561199200293542,117,29137
76561199463994724,6,4262
76561198243796752,397,49355
76561198132110525,121,14968
76561198138946946,56,32946
76561198328572243,15,57861
76561198398243583,161,12279
76561199044308889,9,4721
76561199054241118,4,5837
76561199160992392,1,4219
76561198976382400,14,645
76561199126134729,86,1122
76561199078269628,56,1000
76561199143954372,124,28228
76561199235337601,8,3477
76561198422939632,26,8599
76561199484365856,14,4210
76561199089895329,33,1189
76561199059020187,9,2436
76561199085884349,82,9047
76561199405870753,7,4473
76561199222783356,32,7145
76561198835728561,13,1875
76561199183832141,1,508
76561198202851047,240,14253
76561199030368063,45,1062
76561199107869527,21,1009
76561198820982670,34,68737
76561198088662854,283,24256
76561198994895231,163,3346
76561199201762750,13,1343
76561199131459801,10,4347
76561199276263296,13,1598
76561198393839002,62,9622
76561199217422088,6,1723
76561199089262005,63,16288
76561199130602862,29,6409
76561198443727447,30,80081
76561199088850797,55,19305
76561198821120942,6,469
76561198128869371,7,678
76561199126295595,3,3430
76561198392457242,10,2518
76561199216432930,11,4165
76561199265785964,21,5528
76561199176544105,29,9299
76561199014989702,77,183
76561198998476548,6,19227
76561198194988274,73,41074
76561198369926564,71,29376
76561198836150297,246,17136
76561199479660214,4,10605
76561199095888972,39,9114
76561198305448392,38,7003
76561199104382052,18,429
76561199074346554,29,25780
76561199192159996,12,10638
76561198878971520,35,16151
76561198102769605,57,23299
76561199404827931,5,548
76561199085757174,25,1907
76561199550242714,5,2313
76561199061479799,23,28260
76561198814063353,57,13613
76561198028679392,75,4182
76561198193713247,74,14170
76561199323031992,38,15171
76561198830405183,8,20188
76561199289242985,10,639
76561199131514650,29,19244
76561199522273496,8,4046
76561198007241529,427,1073
76561199523651968,2,297
76561198168728832,60,3987
76561199047008243,53,1519
76561198303080182,153,90921
76561199402900440,2,435
76561199216497677,16,4486
76561199011233578,46,8520
76561199492452073,1,1238
76561199416067446,101,1507
76561199496509937,9,4322
76561198447394263,12,4737
76561199488928685,4,2176
76561198977455256,5,8589
76561198832967746,101,3163
76561199017728990,9,130029
76561199520582776,1,1572
76561199218757188,12,9924
76561199016340434,2,7623
76561198166454154,22,43993
76561199071975950,104,10149
76561199139223725,4,429
76561199489465857,15,4538
76561199119124038,21,943
76561198303132683,73,464
76561199184875053,11,1879
76561199246558832,3,3046
76561199024230344,7,6525
76561198299673250,244,4193
76561198887494370,38,6765
76561198205333789,335,79311
76561198975552513,2,4759
76561199446926626,15,25039
76561198979892127,37,9762
76561199122423473,28,4929
76561199101641873,67,7266
76561199179237259,45,957
76561198051722272,48,56162
76561199134457914,5,1013
76561199223272977,1,479
76561198237793484,87,3053
76561199229140799,23,1964
76561199064520793,15,3326
76561199205242654,9,3398
76561199013867623,40,4178
76561199424888475,93,4943
76561198204360553,91,25052
76561199052836043,16,7960
76561198879186278,32,2533
76561198879653446,42,7538
76561199248405773,33,35867
76561198886135971,11,1418
76561199452366660,19,221
76561198840668491,7,50052
76561199389717306,13,2444
76561198832749861,49,5646
76561198820763881,2,1278
